District,Area,Street,Postal Code
Kwali,Kwali,Rugan Mal. Idris,904105
Kwali,Kwali,Rugan Rabo,904105
Kwali,Kwali,Sarki,904105
Kwali,Kwali,Yambabu,904105.
Kwali,Kwali,Bako,904101
Kwali,Pai,Bako,904101
Kwali,Pai,Bobota,904101
Kwali,Pai,Ceceyi,904101
Kwali,Pai,Dabi,904101
Kwali,Pai,Kuti Chichi,904101
Kwali,Pai,Leleyi,904101
Kwali,Pai,Leleyi Bassa,904101
Kwali,Pai,Pai Fulani,904101
Kwali,Pai,Pai Gwari,904101
Kwali,Pai,Tatu,904101
Kwali,Pai,Tukurwa,904101.
Kwali,Pai,Adadu 1,904103
Kwali,Yangoji,Adadu 1,904103
Kwali,Yangoji,Adadu 11,904103
Kwali,Yangoji,Bwoto,904103
Kwali,Yangoji,Daka,904103
Kwali,Yangoji,Ijah Dabuta,904103
Kwali,Yangoji,Ijah Sarki,904103
Kwali,Yangoji,Koroki,904103
Kwali,Yangoji,Kuyi,904103
Kwali,Yangoji,Nitse,904103
Kwali,Yangoji,Sukuku,904103
Kwali,Yangoji,Tampe,904103
Kwali,Yangoji,Yangoji,904103.
Kwali,Yangoji,Ebo,904106
Kwali,Yebu,Ebo,904106
Kwali,Yebu,Kigbe,904106
Kwali,Yebu,Yebu,904106.
Kwali,Yebu,(Ubosharu),904109
Kwali,Wako,(Ubosharu),904109
Kwali,Wako,Anguwar Baushe,904109
Kwali,Wako,Awawa,904109
Kwali,Wako,Azarachi,904109
Kwali,Wako,Bukpe,904109
Kwali,Wako,Chida,904109
Kwali,Wako,Dangara,904109
Kwali,Wako,Dapa,904109
Kwali,Wako,Gadabiyu,904109
Kwali,Wako,Kibuyi,904109
Kwali,Wako,Sa'adu,904109
Kwali,Wako,Sabon Gari,904109
Kwali,Wako,Ubo Saidu,904109
Kwali,Wako,Wako,904109
Kwali,Wako,Yewuti,904109.
Abaji,Abaji,Agyana,905101
Abaji,Abaji,Bago,905101
Abaji,Abaji,Bandagi,905101
Abaji,Abaji,Dapala,905101
Abaji,Abaji,Ebagi,905101
Abaji,Abaji,Gbogbogo,905101
Abaji,Abaji,Kebba,905101
Abaji,Abaji,Manderegi,905101
Abaji,Abaji,Nah. Tosho,905101
Abaji,Abaji,Nahalati Sabo,905101
Abaji,Abaji,Nuku,905101
Abaji,Abaji,Panagana,905101
Abaji,Abaji,Rimba,905101
Abaji,Abaji,Uboshenu,905101
Abaji,Abaji,Yawule,905101
Abaji,Abaji,Abuja,905102
Abaji,Yaba,Abuja,905102
Abaji,Yaba,Adagba,905102
Abaji,Yaba,Afo,905102
Abaji,Yaba,Akori,905102
Abaji,Yaba,Alampa,905102
Abaji,Yaba,Allu,905102
Abaji,Yaba,Ayaba,905102
Abaji,Yaba,Bari-Bezi,905102
Abaji,Yaba,Bazi-Bezi,905102
Abaji,Yaba,Busga,905102
Abaji,Yaba,Chakun,905102
Abaji,Yaba,Chundugo,905102
Abaji,Yaba,Dabbare,905102
Abaji,Yaba,Dara,905102
Abaji,Yaba,Dewu,905102
Abaji,Yaba,Domi,905102
Abaji,Yaba,Dumb,905102
Abaji,Yaba,Ekki,905102
Abaji,Yaba,Fakon Tando,905102
Abaji,Yaba,Gadabiri,905102
Abaji,Yaba,Gari,905102
Abaji,Yaba,Gasakba,905102
Abaji,Yaba,Gasukpa,905102
Abaji,Yaba,Gawu,905102
Abaji,Yaba,Gawun,905102
Abaji,Yaba,Gidan Maisaye,905102
Abaji,Yaba,Gurdi,905102
Abaji,Yaba,Guruza,905102
Abaji,Yaba,Gwanda,905102
Abaji,Yaba,Gwona,905102
Abaji,Yaba,Jamigbe,905102
Abaji,Yaba,Kafako,905102
Abaji,Yaba,Kpace,905102
Abaji,Yaba,Kularida,905102
Abaji,Yaba,Kutara,905102
Abaji,Yaba,Kwago,905102
Abaji,Yaba,Kwakwa,905102
Abaji,Yaba,Kyawu,905102
Abaji,Yaba,Lafia Yaba,905102
Abaji,Yaba,Managi,905102
Abaji,Yaba,Nadichi,905102
Abaji,Yaba,Nagun,905102
Abaji,Yaba,Nassarawa,905102
Abaji,Yaba,Nowog,905102
Abaji,Yaba,Nyembo,905102
Abaji,Yaba,Pako Base,905102
Abaji,Yaba,Panagu,905102
Abaji,Yaba,Pandaji,905102
Abaji,Yaba,Pankuru,905102
Abaji,Yaba,Panpari,905102
Abaji,Yaba,Piowe,905102
Abaji,Yaba,Sabongida,905102
Abaji,Yaba,Sarowo-Abdu,905102
Abaji,Yaba,Selifulyu,905102
Abaji,Yaba,Shadad,905102
Abaji,Yaba,Soitan,905102
Abaji,Yaba,Takpeshi,905102
Abaji,Yaba,Talpa,905102
Abaji,Yaba,Tanaga,905102
Abaji,Yaba,Wapa,905102
Abaji,Yaba,Yelwa,905102
Abaji,Yaba,Yelwa Gawu,905102
Abaji,Yaba,Zuwa,905102
Bwari,Bwari,Bwari,901101
Bwari,Bwari,Bwari,901001
Bwari,Bwari,Kubwa,901002
Gwagwalada,Gwagwalada,Agota,902101
Gwagwalada,Gwagwalada,Akwayi,902101
Gwagwalada,Gwagwalada,Akyakyata,902101
Gwagwalada,Gwagwalada,Alu wamo,902101
Gwagwalada,Gwagwalada,Anguwar Hausawa,902101
Gwagwalada,Gwagwalada,Anguwar Sarki,902101
Gwagwalada,Gwagwalada,Atopi,902101
Gwagwalada,Gwagwalada,Auguwar-Madaki,902101
Gwagwalada,Gwagwalada,Bargada Bassa,902101
Gwagwalada,Gwagwalada,Basan Zuba,902101
Gwagwalada,Gwagwalada,Bassa,902101
Gwagwalada,Gwagwalada,Biyu,902101
Gwagwalada,Gwagwalada,Boka,902101
Gwagwalada,Gwagwalada,Chaboda,902101
Gwagwalada,Gwagwalada,Chitumu,902101
Gwagwalada,Gwagwalada,Chzako,902101
Gwagwalada,Gwagwalada,Dabagayi,902101
Gwagwalada,Gwagwalada,Dada,902101
Gwagwalada,Gwagwalada,Dada Gongo,902101
Gwagwalada,Gwagwalada,Dadabiri,902101
Gwagwalada,Gwagwalada,Damin Kara,902101
Gwagwalada,Gwagwalada,Dawaki,902101
Gwagwalada,Gwagwalada,Didan Tujura,902101
Gwagwalada,Gwagwalada,Diko,902101
Gwagwalada,Gwagwalada,Dikwa Gwari,902101
Gwagwalada,Gwagwalada,Dikwa Kotwa,902101
Gwagwalada,Gwagwalada,Dobi,902101
Gwagwalada,Gwagwalada,Doni,902101
Gwagwalada,Gwagwalada,Doruwa,902101
Gwagwalada,Gwagwalada,Eabodo,902101
Gwagwalada,Gwagwalada,Garin Godoso,902101
Gwagwalada,Gwagwalada,Gbadolo,902101
Gwagwalada,Gwagwalada,Gerin Angulu,902101
Gwagwalada,Gwagwalada,Gidan Ango,902101
Gwagwalada,Gwagwalada,Gidan Bala,902101
Gwagwalada,Gwagwalada,Gidan Dandu,902101
Gwagwalada,Gwagwalada,Gidan Gade,902101
Gwagwalada,Gwagwalada,Gidan Golo,902101
Gwagwalada,Gwagwalada,Gidan Yaro,902101
Gwagwalada,Gwagwalada,Goi,902101
Gwagwalada,Gwagwalada,Goi Sabo,902101
Gwagwalada,Gwagwalada,Gongo,902101
Gwagwalada,Gwagwalada,Gulupe,902101
Gwagwalada,Gwagwalada,Gurebare,902101
Gwagwalada,Gwagwalada,Gurfa Gongo,902101
Gwagwalada,Gwagwalada,Gurfata,902101
Gwagwalada,Gwagwalada,Gurfata Sabo,902101
Gwagwalada,Gwagwalada,Gwako,902101
Gwagwalada,Gwagwalada,Gwale,902101
Gwagwalada,Gwagwalada,Gwari,902101
Gwagwalada,Gwagwalada,Gwaywalada,902101
Gwagwalada,Gwagwalada,Gyabiri,902101
Gwagwalada,Gwagwalada,Hanagada Abdu,902101
Gwagwalada,Gwagwalada,Hanagada Bassa,902101
Gwagwalada,Gwagwalada,Ibbo,902101
Gwagwalada,Gwagwalada,Ibwa,902101
Gwagwalada,Gwagwalada,Ibwa Sarki,902101
Gwagwalada,Gwagwalada,Ikwa,902101
Gwagwalada,Gwagwalada,Isom Bassa,902101
Gwagwalada,Gwagwalada,Isom Fulani,902101
Gwagwalada,Gwagwalada,Jalita Gongo,902101
Gwagwalada,Gwagwalada,Jigodo I,902101
Gwagwalada,Gwagwalada,Jiwape,902101
Gwagwalada,Gwagwalada,Kaburufi,902101
Gwagwalada,Gwagwalada,Kace Bassa,902101
Gwagwalada,Gwagwalada,Kace Sabo,902101
Gwagwalada,Gwagwalada,Kace Sarki,902101
Gwagwalada,Gwagwalada,Kaida Bassa,902101
Gwagwalada,Gwagwalada,Kaida Gwari,902101
Gwagwalada,Gwagwalada,Kaida Sabo,902101
Gwagwalada,Gwagwalada,Kalangu,902101
Gwagwalada,Gwagwalada,Kasanki,902101
Gwagwalada,Gwagwalada,Kpatawuro,902101
Gwagwalada,Gwagwalada,Kutabwche,902101
Gwagwalada,Gwagwalada,Kutunku,902101
Gwagwalada,Gwagwalada,Kuturpe,902101
Gwagwalada,Gwagwalada,Kwalikuzi,902101
Gwagwalada,Gwagwalada,Lafiya,902101
Gwagwalada,Gwagwalada,Ledi,902101
Gwagwalada,Gwagwalada,Ledi Sabo,902101
Gwagwalada,Gwagwalada,Madaki Abuche,902101
Gwagwalada,Gwagwalada,Maikaraya,902101
Gwagwalada,Gwagwalada,Maje Bassa,902101
Gwagwalada,Gwagwalada,Maje Tsoho,902101
Gwagwalada,Gwagwalada,Makama,902101
Gwagwalada,Gwagwalada,Momo Sabo,902101
Gwagwalada,Gwagwalada,Pabeyi,902101
Gwagwalada,Gwagwalada,Pagada,902101
Gwagwalada,Gwagwalada,Pagena I,902101
Gwagwalada,Gwagwalada,Paiken Korce,902101
Gwagwalada,Gwagwalada,Paiko,902101
Gwagwalada,Gwagwalada,Pajana II,902101
Gwagwalada,Gwagwalada,Pako,902101
Gwagwalada,Gwagwalada,Paso Gwari,902101
Gwagwalada,Gwagwalada,Pass Kutawa,902101
Gwagwalada,Gwagwalada,Patte,902101
Gwagwalada,Gwagwalada,Rafin Zurfi,902101
Gwagwalada,Gwagwalada,Rain Zurfi,902101
Gwagwalada,Gwagwalada,S/Ganuwa,902101
Gwagwalada,Gwagwalada,Sabo,902101
Gwagwalada,Gwagwalada,Saboda,902101
Gwagwalada,Gwagwalada,Sabon Gari,902101
Gwagwalada,Gwagwalada,Shaga I,902101
Gwagwalada,Gwagwalada,Shaga II,902101
Gwagwalada,Gwagwalada,Shajantara,902101
Gwagwalada,Gwagwalada,Shanagu,902101
Gwagwalada,Gwagwalada,Shara Bassa,902101
Gwagwalada,Gwagwalada,Shibo,902101
Gwagwalada,Gwagwalada,Shibo Bassa,902101
Gwagwalada,Gwagwalada,Shida,902101
Gwagwalada,Gwagwalada,Shidhida,902101
Gwagwalada,Gwagwalada,Shinge,902101
Gwagwalada,Gwagwalada,Soko,902101
Gwagwalada,Gwagwalada,Tsagban Siji,902101
Gwagwalada,Gwagwalada,Tsaunia Kura,902101
Gwagwalada,Gwagwalada,Tsudna,902101
Gwagwalada,Gwagwalada,Tundun Wada,902101
Gwagwalada,Gwagwalada,Tung Tsauni,902101
Gwagwalada,Gwagwalada,Tunga Makeri,902101
Gwagwalada,Gwagwalada,Tungan Adamu,902101
Gwagwalada,Gwagwalada,Tungan Auta,902101
Gwagwalada,Gwagwalada,Tungan D. Kolo,902101
Gwagwalada,Gwagwalada,Tungan Giwa,902101
Gwagwalada,Gwagwalada,Tungan Jika,902101
Gwagwalada,Gwagwalada,Tungan Kakaki,902101
Gwagwalada,Gwagwalada,Tungan Ladan,902101
Gwagwalada,Gwagwalada,Tungan M. Hassan,902101
Gwagwalada,Gwagwalada,Tungan Maikasuwa,902101
Gwagwalada,Gwagwalada,Tungan Pada,902101
Gwagwalada,Gwagwalada,Tungan S. Pada,902101
Gwagwalada,Gwagwalada,Tungan Salihu,902101
Gwagwalada,Gwagwalada,Tungan Tsauni,902101
Gwagwalada,Gwagwalada,Ung Gade,902101
Gwagwalada,Gwagwalada,Ung. Bassa,902101
Gwagwalada,Gwagwalada,Ung. Gwari,902101
Gwagwalada,Gwagwalada,Wagu Wase-Gyan,902101
Gwagwalada,Gwagwalada,Wuma,902101
Gwagwalada,Gwagwalada,Wumi,902101
Gwagwalada,Gwagwalada,Wurumbi,902101
Gwagwalada,Gwagwalada,Wuye-Wuye,902101
Gwagwalada,Gwagwalada,Yaluan Ibwa,902101
Gwagwalada,Gwagwalada,Yemipe,902101
Gwagwalada,Gwagwalada,Zuba,902101
Kuje,Kuje,Bako,903101
Kuje,Kuje,Bobota,903101
Kuje,Kuje,Ceceyi,903101
Kuje,Kuje,Dabi,903101
Kuje,Kuje,Kuti Chichi,903101
Kuje,Kuje,Leleyi,903101
Kuje,Kuje,Leleyi Bassa,903101
Kuje,Kuje,Pai Fulani,903101
Kuje,Kuje,Pai Gwari,903101
Kuje,Kuje,Tatu,903101
Kuje,Kuje,Tukurwa,903101
Kuje,Kuje,Adegbe,903102
Kuje,Rubbochi,Adegbe,903102
Kuje,Rubbochi,Affa,903102
Kuje,Rubbochi,Ahinza,903102
Kuje,Rubbochi,Attako,903102
Kuje,Rubbochi,Bida,903102
Kuje,Rubbochi,Buga,903102
Kuje,Rubbochi,Darika,903102
Kuje,Rubbochi,Dnago,903102
Kuje,Rubbochi,Gabiya,903102
Kuje,Rubbochi,Gidan Bawa,903102
Kuje,Rubbochi,Gombe,903102
Kuje,Rubbochi,Gova,903102
Kuje,Rubbochi,Gudun Karya,903102
Kuje,Rubbochi,Gwagwada,903102
Kuje,Rubbochi,Gyana,903102
Kuje,Rubbochi,Huni-Gade,903102
Kuje,Rubbochi,Huni-Gwari,903102
Kuje,Rubbochi,Kujekwa,903102
Kuje,Rubbochi,Kule,903102
Kuje,Rubbochi,Kutunbwa,903102
Kuje,Rubbochi,Mabamade,903102
Kuje,Rubbochi,Munu,903102
Kuje,Rubbochi,Odun Bisa,903102
Kuje,Rubbochi,Odun Kasa,903102
Kuje,Rubbochi,Perri,903102
Kuje,Rubbochi,Rubatu,903102
Kuje,Rubbochi,Rubbochi,903102
Kuje,Rubbochi,Rugese,903102
Kuje,Rubbochi,Sabe,903102
Kuje,Rubbochi,Sungba,903102
Kuje,Rubbochi,Tika,903102
Kuje,Rubbochi,Tuturutu,903102
Kuje,Rubbochi,Ukya,903102
Kuje,Rubbochi,Ungwar-Madaki,903102
Kuje,Rubbochi,Ure,903102
Kuje,Rubbochi,Yaba,903102
Kuje,Rubbochi,Yewusa,903102
Kuje,Rubbochi,Zagabutu,903102
Kuje,Rubbochi,Zoge,903102
Kuje,Rubbochi,Zokutu,903102
